"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","ExecutionTime"
15,"Yes",60,1,0.942984049411708,3.21253473569164,1.56676996519853,4.62616336108701,7.88284107290099,24.4035226693273,0.765374403428431,0.765815357951173,7707.15088105202
15,"Yes",120,2,0.916313108682535,4.72037039855382,1.51852388775537,6.48605418224532,7.67563182442195,35.962439499003,0.538794364755869,0.539525767141173,7707.15088105202
15,"Yes",180,3,0.879804781900762,5.67490043747375,1.44500335510529,7.65260607090089,7.73559418537376,43.5984282787708,0.357974649796835,0.358576771891736,7707.15088105202
15,"Yes",360,6,0.929478605066123,7.37570425413023,1.52465245499561,9.87498416180462,8.1470040742137,59.8802240828481,-0.069070328232927,0,7707.15088105202
15,"Yes",720,12,0.890602069412566,8.2080060680692,1.4496556853576,11.015260783124,8.46513128293556,71.1972439513382,-0.330218634200912,0,7707.15088105202
15,"Yes",1440,24,0.909145788661323,8.9166425228301,1.51174713684415,12.1642966320483,7.70946900800252,77.4470820453251,-0.622211458210226,0,7707.15088105202
15,"Yes",2160,36,0.88186913085342,10.64447069068,1.45228015254447,13.8006017877249,7.58270330930161,97.9598330229439,-1,0,7707.15088105202
15,"Yes",2880,48,0.958208262004754,11.165261530387,1.56603378745667,14.2158931129297,8.95383971797591,99.4205660941344,-1,0,7707.15088105202
15,"Yes",4320,72,0.903678209233901,10.6271394017878,1.46139099944332,13.4391650379995,8.47295225985527,93.864431088869,-0.98005856169138,0,7707.15088105202
15,"No",60,1,485.947903937676,5380.65534807101,635.07930252656,5383.6433086587,17.6456951789475,50526.6440489466,-1,0,15601.6871550083
15,"No",120,2,394.355996175181,5683.58665895603,499.866432407801,5689.89742501343,17.5657971208446,53406.5852966323,-1,0,15601.6871550083
15,"No",180,3,410.044117508712,5533.32881124927,524.382539270451,5542.5376443926,19.8846501642389,52028.7994271761,-1,0,15601.6871550083
15,"No",360,6,678.009086371182,5170.51404060563,861.070260719512,5205.71511759621,36.4855647313309,48804.3795661751,-1,0,15601.6871550083
