"AggregationMinutes","Preprocessing","Minutes","Hours","MAE_Train","MAE_Test","RMSE_Train","RMSE_Test","MAPE_Train","MAPE_Test","R_Squared","EVS","ExecutionTime"
15,"Yes",60,1,0.971483806103103,3.80813510081394,1.52897747236977,6.3218579147401,11.9676878511787,60.5697128136446,0.569516805174369,0.575155285456107,531.556946992874
15,"Yes",120,2,1.09065664035034,5.68690747901034,1.63536212231084,8.52157442654378,11.5337109186838,94.5486566503571,0.217820510585197,0.23042950115301,531.556946992874
15,"Yes",180,3,1.16152907616628,6.79507936465051,1.63934608300686,10.1015083562415,13.9356345393373,107.317973673248,-0.0991050303753691,0,531.556946992874
15,"Yes",360,6,0.955450579771459,9.11693453425415,1.46757347187193,12.629172092265,10.4969706106053,152.114719931903,-0.717973668732164,0,531.556946992874
15,"Yes",720,12,0.944287105072651,9.40540295264084,1.44703864430038,12.8894425652926,11.2664210022852,131.796187184832,-0.789513635814122,0,531.556946992874
15,"Yes",1440,24,0.934034745422131,8.27058589377285,1.4807761740499,11.5994147138963,10.8681208203763,135.190936920932,-0.44923526285674,0,531.556946992874
15,"Yes",2160,36,1.15934500939239,9.78667490870368,1.67446985958847,13.5276714106396,13.0908649837692,143.352908521172,-0.971118944335002,0,531.556946992874
15,"Yes",2880,48,1.14902206103007,7.99752904402783,1.70075615055222,11.370202117904,12.6228393266518,106.853459537803,-0.39252535115102,0,531.556946992874
15,"Yes",4320,72,1.02624073259086,8.13984723511478,1.60085544565118,11.9384778704451,10.9147793490393,77.0761741290984,-0.535198926876745,0,531.556946992874
15,"No",60,1,256.495114685172,302.571774836769,349.781954672765,313.359018487626,35.8742131375483,7928.74442862475,-1,0,561.9673640728
15,"No",120,2,247.082559440428,384.405577143057,340.1401001931,386.739108482877,34.6501184095606,9291.62863626429,-1,0,561.9673640728
15,"No",180,3,227.871114712906,409.059764770172,318.870286332621,412.915563235004,31.6148476238703,9949.7494178757,-1,0,561.9673640728
15,"No",360,6,265.293764840094,282.514175708781,356.327827396643,306.253805143814,39.5402380597779,7145.44104885493,-1,0,561.9673640728
15,"No",720,12,302.458482928434,202.342560152753,397.303598258685,233.462447770916,44.3661686652673,4726.02959747473,-1,0,561.9673640728
15,"No",1440,24,362.545964093324,189.361327923567,461.37923793785,205.509448529019,52.3415912584771,4245.38460972065,-1,0,561.9673640728
15,"No",2160,36,265.262760990522,274.907051810272,359.103509710476,313.733081139757,36.4263063527498,5042.39031020295,-1,0,561.9673640728
15,"No",2880,48,353.488550515717,161.259168252908,451.912319823982,193.57749139303,51.4207990425282,2619.54388265229,-1,0,561.9673640728
15,"No",4320,72,348.51539855315,129.36793136252,445.787633354963,174.396724926214,51.1719616107811,1490.63714099853,-1,0,561.9673640728
30,"Yes",60,1,1.48074841950971,4.98941601644124,2.4836069731259,6.89620140721258,14.2398830271358,89.7429661662204,0.485456993245186,0.565094000124165,354.965945005417
30,"Yes",120,2,1.44213143119202,6.19377311453699,2.18849583158791,8.8262617448433,16.9406247764763,108.007998320174,0.157140063266331,0.206588295060525,354.965945005417
30,"Yes",180,3,1.43808800547091,7.2190883985106,2.44572168082785,10.3276223411518,15.1811633534424,114.782794978853,-0.153991216061561,0,354.965945005417
30,"Yes",360,6,1.4802017790439,9.23180199783627,2.43292992403362,12.6326711375599,14.8376704620183,176.249358171079,-0.726601791780674,0,354.965945005417
30,"Yes",720,12,1.44308513008742,8.98705743173299,2.39168654367378,12.0720352491242,14.4103558182834,139.519154122352,-0.576749841941457,0,354.965945005417
30,"Yes",1440,24,1.37430514247881,8.26415375490262,2.24904210888925,11.3467111550437,13.9385837521637,130.489670159655,-0.392970135105447,0,354.965945005417
30,"Yes",2160,36,1.6899180590185,10.2115368331725,3.15317617252448,13.9225938654747,17.2455541344348,142.034480159265,-1,0,354.965945005417
30,"Yes",2880,48,1.48416813186113,8.24654525704903,2.31970727090342,11.8683572783469,15.9449772509532,116.371755804415,-0.523993201380771,0,354.965945005417
30,"Yes",4320,72,1.54914408100832,7.38698266981983,2.47206144721729,11.188276752491,16.9639647255593,75.0579436202807,-0.354341565545251,0,354.965945005417
30,"No",60,1,167.057655234268,124.348567051987,214.493665368739,125.249780978578,48.7870545282809,3104.5597449797,-1,0,364.032659053802
30,"No",120,2,190.074620067209,71.5327925504342,238.774235092795,79.0423464451466,54.8750362739003,2062.23211356146,-1,0,364.032659053802
30,"No",180,3,214.399731318156,70.6556963852818,259.933440598786,71.5553328965217,74.9957012575302,1803.5452015848,-1,0,364.032659053802
30,"No",360,6,148.135019668634,142.165137998541,196.476440320269,145.146327945467,42.9740114190934,3512.91340498738,-1,0,364.032659053802
30,"No",720,12,180.797653263894,101.207465624584,229.528529872716,105.176038344662,51.7886306021279,2418.28360428805,-1,0,364.032659053802
30,"No",1440,24,179.32307569877,92.7835180889,227.481001190702,100.616070811325,51.6980141670096,2152.61645676602,-1,0,364.032659053802
30,"No",2160,36,166.773118972778,99.5896409595183,213.487726768394,113.003528688009,49.9229117486498,1862.16097833617,-1,0,364.032659053802
30,"No",2880,48,200.941395054693,61.3231439440636,245.22771272672,72.8959500068721,75.8662982317958,1040.69669068538,-1,0,364.032659053802
30,"No",4320,72,181.910501231318,42.5610038126158,230.603178466373,62.5868492091962,52.6741637402419,535.123993072683,-1,0,364.032659053802
60,"Yes",60,1,2.2855728732215,5.43663159999931,3.64643237341001,7.59688680312338,26.413190510829,92.3915175783054,0.373013504751841,0.373904153359789,229.185137033463
